"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","122-1469-ND","XCR3064XL-10VQG44I","IC CPLD 64MC 9.1NS 44VQFP","U1","1","0","12.59000","12.59"
"2","10","A130144CT-ND","CRGCQ0805J47K","RES 47K OHM 5% 1/8W 0805","","10","0","0.02700","0.27"
"3","10","399-8001-1-ND","C0805C105J4RACTU","CAP CER 1UF 16V X7R 0805","C1","10","0","0.18400","1.84"
"4","1","LP2980AIM5X-3.3/NOPBCT-ND","LP2980AIM5X-3.3/NOPB","IC REG LINEAR 3.3V 50MA SOT23-5","U3","1","0","0.66000","0.66"
"5","1","1450-M29F800FB5AN6E2-ND","M29F800FB5AN6E2","IC FLASH 8MBIT PARALLEL 48TSOP I","U2","1","0","4.32000","4.32"
"6","1","10129379-902002BLF-ND","10129379-902002BLF","CONN HEADER R/A 2POS 2.54MM","TP1, TP2","1","0","0.10000","0.10"
